Date,Open,High,Low,Close,Adj Close,Volume
1997-05-15,0.121875,0.125000,0.096354,0.097917,0.097917,1443120000
1997-05-16,0.098438,0.098958,0.085417,0.086458,0.086458,294000000
1997-05-19,0.088021,0.088542,0.081250,0.085417,0.085417,122136000
1997-05-20,0.086458,0.087500,0.081771,0.081771,0.081771,109344000
1997-05-21,0.081771,0.082292,0.068750,0.071354,0.071354,377064000
1997-05-22,0.071875,0.072396,0.065625,0.069792,0.069792,235536000
1997-05-23,0.070313,0.076042,0.066667,0.075000,0.075000,318744000
1997-05-27,0.075521,0.082292,0.072917,0.079167,0.079167,173952000
1997-05-28,0.081250,0.081771,0.076563,0.076563,0.076563,91488000
1997-05-29,0.077083,0.077083,0.073958,0.075260,0.075260,69456000
1997-05-30,0.075000,0.075521,0.073958,0.075000,0.075000,51888000
1997-06-02,0.075521,0.076563,0.075000,0.075521,0.075521,11832000
1997-06-03,0.076563,0.076563,0.073958,0.073958,0.073958,23664000
1997-06-04,0.073958,0.074479,0.069792,0.070833,0.070833,61608000
1997-06-05,0.070833,0.077083,0.068750,0.077083,0.077083,113448000
1997-06-06,0.075781,0.085417,0.075521,0.082813,0.082813,156144000
1997-06-09,0.082813,0.085417,0.082813,0.084375,0.084375,47040000
1997-06-10,0.085417,0.085417,0.076563,0.079167,0.079167,109176000
1997-06-11,0.079688,0.080208,0.076563,0.077083,0.077083,23760000
1997-06-12,0.079167,0.082292,0.077604,0.080208,0.080208,32640000
1997-06-13,0.081250,0.081250,0.079167,0.079167,0.079167,13872000
1997-06-16,0.080208,0.080208,0.078125,0.078646,0.078646,18264000
1997-06-17,0.079948,0.079948,0.074740,0.075260,0.075260,94128000
1997-06-18,0.076042,0.076823,0.075000,0.075521,0.075521,49296000
1997-06-19,0.075521,0.076563,0.075000,0.075521,0.075521,20064000
1997-06-20,0.076563,0.077604,0.075000,0.076302,0.076302,67752000
1997-06-23,0.077083,0.077083,0.073958,0.075000,0.075000,20952000
1997-06-24,0.075260,0.076302,0.073958,0.075521,0.075521,15024000
1997-06-25,0.076302,0.076302,0.074479,0.075521,0.075521,42120000
1997-06-26,0.076042,0.076042,0.075260,0.075521,0.075521,63792000
1997-06-27,0.075781,0.075781,0.073958,0.074479,0.074479,23760000
1997-06-30,0.075521,0.079948,0.073958,0.077083,0.077083,54936000
1997-07-01,0.077083,0.077083,0.075521,0.075781,0.075781,25848000
1997-07-02,0.075781,0.079688,0.075521,0.079427,0.079427,77640000
1997-07-03,0.079948,0.095833,0.079688,0.095573,0.095573,251544000
1997-07-07,0.091667,0.101042,0.091667,0.100000,0.100000,161064000
1997-07-08,0.102083,0.116667,0.102083,0.115104,0.115104,310344000
1997-07-09,0.115104,0.119271,0.113542,0.116146,0.116146,165240000
1997-07-10,0.116667,0.128646,0.116667,0.128125,0.128125,181032000
1997-07-11,0.126042,0.126042,0.110417,0.114583,0.114583,210624000
1997-07-14,0.116146,0.116667,0.105729,0.106771,0.106771,92088000
1997-07-15,0.106771,0.123958,0.106771,0.121875,0.121875,185496000
1997-07-16,0.122396,0.124740,0.115104,0.116667,0.116667,60480000
1997-07-17,0.117188,0.117188,0.107813,0.110938,0.110938,63384000
1997-07-18,0.109375,0.110938,0.107813,0.107813,0.107813,15600000
1997-07-21,0.108854,0.109896,0.107292,0.109115,0.109115,11496000
1997-07-22,0.108333,0.109375,0.103125,0.106771,0.106771,31272000
1997-07-23,0.109375,0.116667,0.108854,0.114583,0.114583,65184000
1997-07-24,0.115104,0.115625,0.110938,0.113021,0.113021,24336000
1997-07-25,0.110938,0.112500,0.110938,0.111458,0.111458,12408000
1997-07-28,0.111458,0.119792,0.110938,0.116146,0.116146,51480000
1997-07-29,0.118229,0.125000,0.116667,0.123958,0.123958,96288000
1997-07-30,0.125000,0.125260,0.121354,0.122396,0.122396,50352000
1997-07-31,0.121875,0.121875,0.116667,0.119792,0.119792,29088000
1997-08-01,0.117188,0.120833,0.112500,0.120833,0.120833,71760000
1997-08-04,0.118750,0.120573,0.115104,0.115625,0.115625,53424000
1997-08-05,0.116667,0.116667,0.107292,0.110417,0.110417,60648000
1997-08-06,0.110417,0.115625,0.109375,0.112500,0.112500,24864000
1997-08-07,0.112500,0.113021,0.106250,0.108854,0.108854,40680000
1997-08-08,0.108333,0.115104,0.105208,0.114583,0.114583,44232000
1997-08-11,0.114583,0.116667,0.112500,0.116406,0.116406,24792000
1997-08-12,0.114063,0.115104,0.109896,0.109896,0.109896,11424000
1997-08-13,0.111458,0.111458,0.108333,0.109896,0.109896,11808000
1997-08-14,0.108854,0.112500,0.105990,0.107813,0.107813,20832000
1997-08-15,0.106771,0.107813,0.096875,0.105729,0.105729,31944000
1997-08-18,0.102604,0.102604,0.098438,0.102083,0.102083,35688000
1997-08-19,0.104688,0.110417,0.102604,0.108333,0.108333,20064000
1997-08-20,0.109375,0.109375,0.103646,0.108333,0.108333,19992000
1997-08-21,0.106771,0.108594,0.103646,0.105729,0.105729,12480000
1997-08-22,0.105208,0.106250,0.104688,0.106250,0.106250,14256000
1997-08-25,0.105208,0.113021,0.105208,0.110938,0.110938,22536000
1997-08-26,0.111979,0.117708,0.111458,0.117188,0.117188,51480000
1997-08-27,0.115365,0.116146,0.112500,0.115885,0.115885,27840000
1997-08-28,0.115104,0.119792,0.114063,0.118750,0.118750,22944000
1997-08-29,0.118229,0.118750,0.116146,0.116927,0.116927,14448000
1997-09-02,0.117188,0.118750,0.116667,0.117708,0.117708,14640000
1997-09-03,0.117188,0.120833,0.115625,0.116667,0.116667,39288000
1997-09-04,0.118229,0.127604,0.117188,0.127604,0.127604,66960000
1997-09-05,0.129167,0.133333,0.122917,0.125000,0.125000,38160000
1997-09-08,0.126563,0.151042,0.125000,0.150000,0.150000,112968000
1997-09-09,0.157031,0.169271,0.151302,0.161979,0.161979,179424000
1997-09-10,0.165625,0.166406,0.156250,0.165104,0.165104,77328000
1997-09-11,0.166667,0.166667,0.152083,0.157813,0.157813,85248000
1997-09-12,0.159375,0.184896,0.157813,0.184375,0.184375,66672000
1997-09-15,0.183333,0.183854,0.152604,0.154688,0.154688,111672000
1997-09-16,0.156250,0.177083,0.155990,0.167708,0.167708,128640000
1997-09-17,0.172917,0.175000,0.166667,0.170313,0.170313,52152000
1997-09-18,0.171875,0.173438,0.164063,0.164583,0.164583,42576000
1997-09-19,0.169010,0.204167,0.168750,0.197396,0.197396,178584000
1997-09-22,0.200000,0.233854,0.197396,0.225000,0.225000,338760000
1997-09-23,0.224479,0.232292,0.219792,0.231250,0.231250,153648000
1997-09-24,0.232292,0.240625,0.214583,0.218750,0.218750,164016000
1997-09-25,0.217188,0.217708,0.202604,0.203906,0.203906,99360000
